Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
Eenie Meenie - Radio Version,"Sean Kingston,Justin Bieber",Eenie Meenie EP,6DOZI2LfBRYHRhZV21LrOu,4Yaw2PmyOETOnEM3TCf98I,61,2020-02-28,201973,False,https://open.spotify.com/track/4Yaw2PmyOETOnEM3TCf98I,0.718,0.638,1,-3.479,1,0.031,0.0412,0.0,0.169,0.835,121.242
Rock That Body,Black Eyed Peas,THE E.N.D. (THE ENERGY NEVER DIES),3lng6RAtdksQ2q02Fk5jaB,7K8XoQXZBffc4xG2xIQHMO,61,2009-01-01,268840,False,https://open.spotify.com/track/7K8XoQXZBffc4xG2xIQHMO,0.715,0.907,7,-6.025,0,0.0993,0.0172,8.39e-05,0.426,0.841,124.991
Lost in the Fire,"Gesaffelstein,The Weeknd",Lost in the Fire,3gXi45Aift9hCoB6lvuVJb,7wFybC8jBH3zE139OpCtpG,0,2019,202093,True,https://open.spotify.com/track/7wFybC8jBH3zE139OpCtpG,0.663,0.675,2,-12.159,1,0.0359,0.0863,0.00133,0.117,0.176,101.004
A Milli,Lil Wayne,Tha Carter III,5BGzOpea6At0Nd7tYtYZOP,6ScJMrlpiLfZUGtWp4QIVt,70,2008-06-10,221840,True,https://open.spotify.com/track/6ScJMrlpiLfZUGtWp4QIVt,0.674,0.695,6,-8.636,0,0.278,0.0387,0.00202,0.194,0.773,151.486
Break Your Heart,"Taio Cruz,Ludacris",Rokstarr,159jpldDCgsgH6KGgjy63c,1CdqVF1ywD0ZO1zXtB9yWa,70,2010-01-01,186267,False,https://open.spotify.com/track/1CdqVF1ywD0ZO1zXtB9yWa,0.666,0.899,8,-4.676,1,0.028,0.00155,0.0,0.0677,0.629,122.05
Ain't Shit,Doja Cat,Planet Her,1nAQbHeOWTfQzbOoFrvndW,5lAnYvAIkSDNXqfo7DyFUm,77,2021-06-25,174253,True,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm,0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,124.097
Pussy Poppin (I Don't Really Talk Like This),Rico Nasty,Nightmare Vacation,0jJEiaA2W9eFhTXC1EGMqG,0Hb2KGmwZez23POGBw2Xc2,53,2020-12-04,116211,True,https://open.spotify.com/track/0Hb2KGmwZez23POGBw2Xc2,0.936,0.82,9,-2.554,1,0.325,0.163,0.0,0.0707,0.896,94.991
Desperado,Rihanna,ANTI (Deluxe),4UlGauD7ROb3YbVOFMgW5u,4mCf3vQf7z0Yseo0RxAi3V,71,2016-01-28,186467,False,https://open.spotify.com/track/4mCf3vQf7z0Yseo0RxAi3V,0.685,0.61,0,-5.221,0,0.0439,0.323,0.0,0.102,0.323,94.384
Plain Jane REMIX (feat. Nicki Minaj),"A$AP Ferg,Nicki Minaj",Plain Jane REMIX (feat. Nicki Minaj),0bVY8ZE63UQOyJQsjjidVn,2YzmfPLqUx5CJOaw5ThsBV,70,2017-12-15,202636,True,https://open.spotify.com/track/2YzmfPLqUx5CJOaw5ThsBV,0.791,0.839,11,-4.284,1,0.266,0.0588,6.26e-05,0.259,0.383,170.113
ICE (We Should Do Drugs),Labrinth,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),43tSLc6ZxW8TTRLrBO0SU1,6cIve9jrdy8qBm4YLswXoB,45,2022-04-22,165979,False,https://open.spotify.com/track/6cIve9jrdy8qBm4YLswXoB,0.852,0.35,9,-9.361,0,0.101,0.0653,0.812,0.1,0.447,123.009
In The Party,Flo Milli,"Ho, why is you here ?",49FIsErcdC5rfTFhRpPZ7P,52BJrldggFQyTiW8XrILhO,66,2020-07-24,137362,True,https://open.spotify.com/track/52BJrldggFQyTiW8XrILhO,0.919,0.609,9,-5.059,1,0.262,0.0096,0.0,0.124,0.418,134.992
Paper Planes,M.I.A.,Kala,1Lymt1abGCr3J06bbnmWca,1kusepF3AacIEtUTYrw4GV,0,2007-01-01,203760,False,https://open.spotify.com/track/1kusepF3AacIEtUTYrw4GV,0.447,0.848,2,-6.175,1,0.222,0.033,7.45e-05,0.722,0.485,172.247
